CHR,START,END,Consensus,CgPho4.enrichment.No.Pi.with.Pho2,CgPho4.enrichment.No.Pi.no.pho2,Ratio.Cgla4.no.Pi,CgPho4.enrichment.High.Pi.with.Pho2,CgPho4.enrichment.High.Pi.no.pho2,CgPho2.bound,CgPho2.enrichment.No.Pi,CgPho2.enrichment.High.Pi,CgPho4.gene.induced
Chr6,232730,233229,1,45.271,31.894,1.41942058067348,3.28,3.657,1,9.311,1.786,1
Chr6,802600,803000,0,5.03,4.625,1.08756756756757,0.761,0.929,1,2.182,1.966,1
Chr6,810158,810657,0,5.633,5.546,1.01568698160837,1.415,1.749,1,8.002,3.37,0
Chr7,30398,30897,1,14.109,8.393,1.68104372691529,1.898,2.16,1,2.778,2.386,0
Chr7,145563,146110,1,20.69,16.566,1.24894361946155,2.163,2.647,1,5.01,2.504,1
Chr7,456986,457492,0,10.403,6.763,1.53822268224161,1.597,1.304,1,4.991,3.677,1
Chr7,537558,538057,1,10.805,6.529,1.65492418440803,1.419,1.606,0,2.039,1.409,0
Chr7,580809,581397,1,38.132,33.221,1.14782818096987,1.462,1.736,1,5.778,1.104,1
Chr7,666000,666200,0,3.471,3.212,1.08063511830635,1.254,0.992,0,1.132,1.073,1
Chr7,762037,762539,1,4.586,4.225,1.08544378698225,2.116,1.936,1,4.86,3.858,0
Chr7,883903,884405,1,4.021,4.041,0.995050730017322,1.577,1.296,1,1.598,1.636,0
Chr8,70038,70969,0,22.344,31.385,0.711932451808189,0.987,0.888,1,8.466,2.013,1
Chr8,108207,108706,1,18.858,14.764,1.27729612571119,1.805,1.771,0,1.508,1.221,1
Chr8,522308,522807,0,3.738,2.777,1.34605689593086,0.833,0.896,1,2.54,1.991,0
Chr8,739734,740233,1,2.897,3.992,0.725701402805611,0.532,0.432,0,0.942,1.105,0
Chr8,852500,852800,1,3.716,4.469,0.831505929738196,0.686,0.684,0,1.365,1.16,1
Chr8,898500,899500,0,7.027,7.644,0.919283097854526,2.739,2.503,1,3.888,1.81,1
Chr8,979858,980357,1,8.954,15.829,0.565670604586518,1.885,1.769,0,1.216,0.974,0
Chr9,52890,53389,1,28.472,34.467,0.826065511938956,1.475,1.666,1,4.546,1.461,1
Chr9,72419,72921,1,9.418,5.685,1.65664028144239,1.217,1.427,1,2.641,2.285,1
Chr9,219853,220352,0,8.032,4.701,1.70857264411827,2.059,1.457,1,3.976,2.744,0
Chr9,538500,539000,0,4.998,3.95,1.2653164556962,0.615,0.749,1,4.943,2.595,1
Chr9,1067304,1067806,1,5.765,3.348,1.72192353643967,1.671,1.863,0,1.807,1.945,1
Chr10,395200,395400,0,6.601,2.005,3.29226932668329,1.877,1.362,1,8.312,3.165,1
Chr10,573282,573783,0,15.583,12.64,1.23283227848101,1.161,1.011,1,2.91,2.313,1
Chr10,676776,677275,1,5.028,4.845,1.03777089783282,0.84,0.668,1,2.995,1.927,1
Chr10,826200,826600,0,8.621,2.626,3.28293983244478,1.615,0.75,1,5.873,4.825,1
Chr11,78661,79160,1,3.484,3.375,1.0322962962963,1.441,1.416,1,1.592,1.239,1
Chr11,402501,404000,0,6.671,3.922,1.70091789903111,1.647,1.696,1,2.242,2.278,1
Chr11,496755,497254,1,7.775,8.462,0.918813519262586,3.432,3.586,0,2.03,1.768,0
Chr11,529611,530171,0,35.687,24.714,1.44399935259367,3.257,2.955,1,13.089,4.164,1
Chr11,712427,712929,1,4.622,3.872,1.19369834710744,1.462,1.337,0,1.199,1.162,0
Chr11,739400,740200,0,5.375,3.58,1.50139664804469,0.97,0.981,1,3.697,3.103,1
Chr11,742617,743184,1,13.758,10.387,1.32454029074805,1,0.937,1,1.52,1.123,1
Chr11,743508,744007,1,13.395,12.022,1.11420728664116,1.75,1.638,1,2.528,1.055,1
Chr11,991800,993000,0,6.143,1.946,3.15673175745118,1.82,2.221,1,10.042,7.341,1
Chr11,1031304,1031803,0,5.527,3.964,1.39429868819374,1.416,1.251,1,10.482,6.873,1
Chr11,1166459,1166980,1,31.261,28.598,1.0931183998881,0.856,1.084,1,5.229,2.281,1
Chr12,95051,95948,1,7.882,3.573,2.20598936467954,1.481,1.377,1,1.318,1.037,1
Chr12,103000,104500,0,4.097,4.46,0.918609865470852,1.458,1.389,1,6.213,3.893,0
Chr12,277254,277753,1,3.977,3.197,1.24397873005943,0.705,0.702,1,5.211,3.284,0
Chr12,467561,468060,1,3.31,3.424,0.966705607476636,1.443,1.753,0,1.025,1.19,0
Chr12,601480,601979,1,13.66,9.177,1.48850386836657,1.761,2.014,1,1.938,1.44,1
Chr12,725805,726304,1,10.429,11.015,0.946799818429414,0.695,0.532,1,6.11,2.354,1
Chr12,749565,750067,1,11.112,8.816,1.26043557168784,2.506,3.316,1,3.071,1.462,1
Chr12,830176,830686,0,9.512,11.076,0.858793788371253,0.686,0.856,1,5.05,2.314,1
Chr12,929500,930000,0,5.745,4.888,1.17532733224223,0.712,0.646,1,2.242,2.143,0
Chr12,977500,978000,0,5.296,3.509,1.50926189797663,0.917,1.035,1,2.981,2.271,1
Chr12,1011275,1011839,1,13.222,8.313,1.59052087092506,0.833,0.888,1,5.08,2.044,0
Chr12,1012203,1012702,0,7.118,2.609,2.72824837102338,1.808,1.674,1,4.102,3.261,0
Chr12,1306404,1306906,1,8.954,8.453,1.05926889861588,1.545,2.044,0,1.335,1.149,0
Chr13,222521,223021,0,8.094,4.953,1.63416111447607,1.317,1.007,1,5.021,2.845,1
Chr13,226380,227223,1,23.741,10.785,2.20129809921187,1.231,1.638,1,12.463,4.578,0
Chr13,323916,324416,0,22.411,17.006,1.31782900152887,1.617,1.887,1,2.039,1.365,1
Chr13,660957,661456,1,2.745,4.867,0.564002465584549,1.327,1.361,0,1.15,1.107,1
Chr13,761517,762016,0,3.579,7.233,0.494815429282455,2.174,1.993,0,1.372,1.203,0
Chr13,763060,763559,0,9.442,7.311,1.2914785938996,1.443,1.216,1,2.301,1.946,1
Chr13,852605,853104,1,21.672,27.789,0.779876929720393,1.961,1.671,1,4.138,1.664,1
Chr13,853600,854099,0,4.874,4.114,1.18473505104521,0.986,0.855,1,3.542,2.03,1
Chr13,1081416,1081915,0,3.353,3.414,0.982132396016403,0.911,0.865,0,1.042,1.221,1
Chr13,1160948,1161916,1,10.619,4.861,2.18452993211273,1.834,2.417,1,8.819,2.419,1
Chr13,1240900,1241050,0,2.753,3.58,0.768994413407821,0.814,1.027,1,3.071,1.57,1
Chr13,1254930,1255130,0,2.581,3.28,0.786890243902439,1.195,1.625,0,1,0.877,1
Chr13,1297500,1298500,0,3.848,2.479,1.55223880597015,1.74,2.16,1,6.69,4.507,1
Chr13,1304835,1305334,1,2.948,2.408,1.22425249169435,2.666,2.399,0,1.103,1.201,0
Chr13,1310295,1310797,1,14.703,9.261,1.58762552640104,4.898,4.521,0,3.13,2.042,0
