S3	S4	S7	S8	gene.names
6525	7631	3696	2604	CAGL0D01188g
137	207	139	105	CAGL0D01210g
343	521	1087	626	CAGL0D01232g
0	0	7	3	CAGL0D01254g
5	1	132	38	CAGL0D01265g
275	365	819	342	CAGL0D01276g
2967	3764	6228	3400	CAGL0D01298g
212	290	282	174	CAGL0D01320g
590	734	778	452	CAGL0D01342g
1198	1470	1584	1017	CAGL0D01364g
300	364	411	259	CAGL0D01386g
2353	3030	2222	1423	CAGL0D01408g
141	160	198	124	CAGL0D01430g
1216	1671	2364	1328	CAGL0D01452g
25	23	154	103	CAGL0D01474g
212	255	619	417	CAGL0D01496g
25	37	83	39	CAGL0D01518g
597	730	928	640	CAGL0D01540g
434	502	326	237	CAGL0D01562g
74	85	123	80	CAGL0D01584g
389	514	453	236	CAGL0D01606g
108	136	120	71	CAGL0D01628g
229	272	278	159	CAGL0D01650g
410	528	804	566	CAGL0D01672g
2	0	4	7	CAGL0D01694g
1547	1737	1651	1064	CAGL0D01716g
456	637	604	453	CAGL0D01738g
405	618	1034	555	CAGL0D01760g
171	231	515	325	CAGL0D01782g
396	526	773	503	CAGL0D01804g
1578	1938	1115	834	CAGL0D01826g
54	80	96	61	CAGL0D01837g
0	0	0	0	CAGL0D01848r
1358	1730	2385	1231	CAGL0D01892g
410	509	603	407	CAGL0D01914g
254	347	701	426	CAGL0D01936g
2821	3115	2797	1569	CAGL0D01958g
291	367	609	205	CAGL0D01980g
434	522	334	200	CAGL0D02002g
99	126	121	74	CAGL0D02018g
334	373	695	381	CAGL0D02024g
306	312	715	415	CAGL0D02046g
697	911	982	615	CAGL0D02068g
13178	14896	5542	4283	CAGL0D02090g
3	8	4	6	CAGL0D02101r
217	302	416	250	CAGL0D02112g
14	13	76	36	CAGL0D02134g
91	107	136	100	CAGL0D02150g
167	233	293	185	CAGL0D02156g
376	419	380	230	CAGL0D02178g
204	252	217	124	CAGL0D02200g
153	207	244	161	CAGL0D02222g
26	25	18	8	CAGL0D02244g
121	162	515	346	CAGL0D02266g
372	499	367	242	CAGL0D02288g
464	474	768	499	CAGL0D02310g
359	432	436	303	CAGL0D02332g
215	281	138	101	CAGL0D02354g
236	314	286	185	CAGL0D02376g
265	343	395	264	CAGL0D02398g
47	52	108	62	CAGL0D02420g
691	776	1134	643	CAGL0D02442g
113	169	312	202	CAGL0D02464g
347	516	730	437	CAGL0D02486g
243	327	405	258	CAGL0D02508g
1641	1748	2534	1792	CAGL0D02530g
53	88	82	74	CAGL0D02552g
161	223	373	233	CAGL0D02574g
188	270	261	183	CAGL0D02596g
370	457	1003	587	CAGL0D02618g
0	0	0	0	CAGL0D02640g
0	0	0	0	CAGL0D02662g
263	349	355	295	CAGL0D02684g
581	739	190	167	CAGL0D02706g
221	270	490	316	CAGL0D02728g
49	64	83	49	CAGL0D02761g
441	589	901	555	CAGL0D02772g
220	280	502	317	CAGL0D02794g
342	456	241	181	CAGL0D02816g
614	722	154	121	CAGL0D02838g
83	121	49	33	CAGL0D02860g
182	245	350	209	CAGL0D02882g
321	445	167	123	CAGL0D02904g
167	242	243	78	CAGL0D02926g
4314	3830	14593	7511	CAGL0D02948g
136	172	63	51	CAGL0D02970g
201	267	179	111	CAGL0D02992g
1319	1712	1662	1021	CAGL0D03014g
347	444	903	550	CAGL0D03036g
785	949	1807	1007	CAGL0D03058g
190	256	227	159	CAGL0D03080g
82	106	206	141	CAGL0D03102g
1194	1508	262	255	CAGL0D03124g
393	476	344	211	CAGL0D03146g
522	686	704	444	CAGL0D03168g
1670	2237	1068	737	CAGL0D03190g
371	454	458	317	CAGL0D03212g
171	188	278	185	CAGL0D03234g
358	426	491	342	CAGL0D03256g
278	362	396	286	CAGL0D03278g
441	610	414	307	CAGL0D03300g
569	652	721	433	CAGL0D03322g
186	259	367	216	CAGL0D03344g
0	0	0	0	CAGL0D03366r
558	832	1127	724	CAGL0D03388g
113	125	68	50	CAGL0D03410g
2622	3274	2840	1862	CAGL0D03432g
662	978	523	287	CAGL0D03454g
0	0	0	0	CAGL0D03476r
650	805	1197	650	CAGL0D03498g
479	621	1223	746	CAGL0D03520g
229	250	459	289	CAGL0D03542g
336	452	976	509	CAGL0D03564g
881	1028	1883	1081	CAGL0D03586g
2	2	9	6	CAGL0D03608g
17	18	23	21	CAGL0D03630g
331	425	535	349	CAGL0D03652g
1418	1753	539	441	CAGL0D03674g
244	265	337	265	CAGL0D03696g
2003	2610	1283	922	CAGL0D03718g
484	731	495	275	CAGL0D03740g
0	0	1	0	CAGL0D03762g
38	44	86	42	CAGL0D03784g
281	302	585	341	CAGL0D03806g
269	332	427	277	CAGL0D03828g
283	337	444	257	CAGL0D03850g
21	26	34	11	CAGL0D03872g
92	112	190	105	CAGL0D03894g
156	245	144	99	CAGL0D03916g
120	148	144	82	CAGL0D03938g
163	165	191	122	CAGL0D03960g
341	439	1610	776	CAGL0D03982g
188	246	410	266	CAGL0D04004g
40	52	177	72	CAGL0D04026g
241	312	411	279	CAGL0D04048g
129	157	336	207	CAGL0D04070g
428	466	1457	840	CAGL0D04092g
2122	2610	1859	1309	CAGL0D04114g
305	424	680	314	CAGL0D04136g
595	632	1147	675	CAGL0D04158g
749	906	173	156	CAGL0D04180g
269	334	224	161	CAGL0D04202g
0	0	0	0	CAGL0D04224r
68	105	129	80	CAGL0D04246g
304	378	465	315	CAGL0D04268g
1241	1628	1518	906	CAGL0D04290g
752	905	887	519	CAGL0D04312g
0	0	0	0	CAGL0D04334r
390	453	1484	398	CAGL0D04356g
306	400	1033	615	CAGL0D04378g
47	70	82	48	CAGL0D04394g
0	0	2	2	CAGL0D04400g
154	236	226	182	CAGL0D04422g
81	101	77	57	CAGL0D04444g
121	182	165	104	CAGL0D04466g
1	2	3	0	CAGL0D04488g
251	314	350	222	CAGL0D04510g
0	0	0	0	CAGL0D04532r
511	761	309	205	CAGL0D04576g
0	0	0	0	CAGL0D04598r
503	579	631	445	CAGL0D04620g
188	271	247	137	CAGL0D04642g
1	0	0	0	CAGL0D04664r
6	11	8	3	CAGL0D04686g
2242	3961	802	556	CAGL0D04708g
273	322	442	261	CAGL0D04730g
390	420	1863	989	CAGL0D04752g
474	626	458	302	CAGL0D04774g
105	145	62	34	CAGL0D04796g
754	974	860	451	CAGL0D04818g
558	596	836	464	CAGL0D04834g
13	12	15	4	CAGL0D04840g
484	647	697	428	CAGL0D04862g
730	956	217	165	CAGL0D04884g
1	0	0	0	CAGL0D04906r
140	206	203	138	CAGL0D04928g
396	541	638	370	CAGL0D04950g
204	199	585	348	CAGL0D04972g
182	256	285	221	CAGL0D04994g
366	435	166	122	CAGL0D05016g
1	0	0	0	CAGL0D05038r
953	1218	302	222	CAGL0D05060g
192	204	1845	955	CAGL0D05082g
0	0	8	4	CAGL0D05093t
0	0	8	2	CAGL0D05104g
0	0	0	1	CAGL0D05126r
347	447	593	316	CAGL0D05148g
492	560	1365	797	CAGL0D05170g
538	662	761	537	CAGL0D05192g
5870	7378	4051	2950	CAGL0D05214g
5	11	5	0	CAGL0D05236g
328	404	299	236	CAGL0D05258g
133	189	415	236	CAGL0D05280g
517	671	1324	654	CAGL0D05302g
117	172	288	195	CAGL0D05318g
152	184	388	230	CAGL0D05324g
197	218	472	306	CAGL0D05346g
118	149	254	148	CAGL0D05368g
0	0	0	0	CAGL0D05390r
735	775	1633	957	CAGL0D05412g
841	1220	2100	1369	CAGL0D05434g
1	0	8	1	CAGL0D05456g
929	1271	1594	1057	CAGL0D05478g
504	640	233	154	CAGL0D05500g
234	270	398	251	CAGL0D05522g
773	1004	786	545	CAGL0D05544g
278	428	337	183	CAGL0D05566g
544	660	172	145	CAGL0D05588g
337	447	395	255	CAGL0D05610g
130	182	310	223	CAGL0D05632g
3	4	5	2	CAGL0D05654g
269	321	352	201	CAGL0D05676g
71	110	151	103	CAGL0D05698g
1	3	0	0	CAGL0D05720g
1444	1902	2046	1309	CAGL0D05742g
174	212	356	233	CAGL0D05764g
153	185	178	123	CAGL0D05786g
553	637	1148	708	CAGL0D05808g
0	0	0	0	CAGL0D05830s
260	341	542	321	CAGL0D05852g
733	892	259	240	CAGL0D05874g
1298	1798	2206	1289	CAGL0D05896g
471	524	672	203	CAGL0D05918g
2359	2863	1602	972	CAGL0D05940g
179	228	331	222	CAGL0D05962g
0	0	0	0	CAGL0D05984r
144	184	438	235	CAGL0D06006g
32	44	60	33	CAGL0D06028g
263	329	410	256	CAGL0D06050g
0	0	0	0	CAGL0D06061t
0	0	0	0	CAGL0D06072r
136	164	91	55	CAGL0D06094g
0	0	0	0	CAGL0D06116r
820	1110	1964	1008	CAGL0D06138g
157	186	343	195	CAGL0D06154g
888	1119	850	566	CAGL0D06160g
435	535	542	327	CAGL0D06182g
338	479	572	395	CAGL0D06204g
120	156	152	97	CAGL0D06226g
1	0	0	0	CAGL0D06248r
181	235	494	261	CAGL0D06270g
932	1231	2281	1202	CAGL0D06292g
1001	1157	1706	989	CAGL0D06314g
333	404	383	260	CAGL0D06336g
0	0	0	0	CAGL0D06358r
1	1	7	1	CAGL0D06380g
555	896	3505	2126	CAGL0D06402g
3102	3975	4354	2609	CAGL0D06424g
600	704	933	589	CAGL0D06446g
32	37	60	32	CAGL0D06468g
62	89	136	97	CAGL0D06490g
31	41	160	82	CAGL0D06512g
0	0	0	0	CAGL0D06534g
2145	2671	2195	1264	CAGL0D06556g
37	44	85	15	CAGL0D06578g
140	148	621	427	CAGL0D06600g
637	756	707	506	CAGL0D06622g
215	273	291	215	CAGL0D06644g
0	0	1	1	CAGL0D06666g
850	1185	2380	1753	CAGL0D06688g
199	256	159	105	CAGL0D06710g
0	0	0	0	CAGL0D06732g
0	0	1	0	CAGL0E00105g
0	0	2	0	CAGL0E00110g
0	0	0	0	CAGL0E00116g
0	0	1	0	CAGL0E00132g
0	0	0	0	CAGL0E00187g
15	20	9	6	CAGL0E00231g
1	0	2	0	CAGL0E00275g
0	1	0	0	CAGL0E00297r
47	57	50	34	CAGL0E00341g
22	39	17	9	CAGL0E00363g
276	421	519	337	CAGL0E00385g
178	228	327	252	CAGL0E00407g
377	521	657	477	CAGL0E00429g
1373	1783	1599	1022	CAGL0E00451g
357	474	420	282	CAGL0E00473g
241	337	328	218	CAGL0E00495g
487	598	114	139	CAGL0E00517g
153	214	224	142	CAGL0E00539g
534	696	841	525	CAGL0E00561g
113	142	696	370	CAGL0E00583g
60	88	188	84	CAGL0E00605g
75	89	109	40	CAGL0E00627g
97	154	304	162	CAGL0E00649g
526	695	1019	545	CAGL0E00671g
401	525	720	405	CAGL0E00693g
428	530	1100	547	CAGL0E00715g
731	1030	719	442	CAGL0E00737g
133	171	257	150	CAGL0E00759g
2253	2856	1221	930	CAGL0E00781g
61	48	1741	692	CAGL0E00803g
0	0	0	0	CAGL0E00825r
843	1036	1261	816	CAGL0E00847g
3269	4118	2329	518	CAGL0E00869g
160	218	521	247	CAGL0E00891g
674	923	1430	866	CAGL0E00913g
282	343	494	162	CAGL0E00935g
320	445	686	479	CAGL0E00957g
823	1099	352	243	CAGL0E00979g
423	577	756	446	CAGL0E01001g
38	35	60	29	CAGL0E01023g
186	227	190	131	CAGL0E01045g
521	702	254	176	CAGL0E01067g
122	120	167	101	CAGL0E01089g
180	196	202	151	CAGL0E01111g
2878	3424	3923	2095	CAGL0E01133g
411	620	377	221	CAGL0E01155g
5172	7355	18294	6777	CAGL0E01177g
1229	1754	1630	1028	CAGL0E01199g
836	1115	516	363	CAGL0E01221g
298	442	368	250	CAGL0E01243g
637	832	534	412	CAGL0E01265g
992	1226	2000	1230	CAGL0E01287g
213	265	407	245	CAGL0E01309g
287	402	495	170	CAGL0E01331g
3429	7225	1070	667	CAGL0E01353g
537	805	743	414	CAGL0E01397g
72	103	141	88	CAGL0E01419g
330	400	417	264	CAGL0E01441g
3355	4029	2465	1599	CAGL0E01463g
264	344	285	186	CAGL0E01485g
362	479	328	226	CAGL0E01507g
120	173	101	76	CAGL0E01529g
167	190	293	152	CAGL0E01551g
249	311	346	196	CAGL0E01567g
784	1106	246	224	CAGL0E01573g
277	313	117	94	CAGL0E01595g
1099	1289	1646	1064	CAGL0E01617g
212	280	629	417	CAGL0E01639g
85	106	175	101	CAGL0E01661g
671	848	863	598	CAGL0E01683g
622	614	589	195	CAGL0E01705g
2794	5430	164	137	CAGL0E01727g
10	14	25	19	CAGL0E01749g
92	93	52	27	CAGL0E01771g
660	887	1494	1199	CAGL0E01793g
5	8	51	37	CAGL0E01815g
235	304	867	456	CAGL0E01837g
36	32	306	215	CAGL0E01859g
126	160	1062	716	CAGL0E01881g
341	478	210	145	CAGL0E01903g
399	507	94	79	CAGL0E01925g
982	1253	875	609	CAGL0E01947g
1171	1455	1625	1010	CAGL0E01969g
11699	13902	6803	5203	CAGL0E01991g
11510	12855	4490	3496	CAGL0E02013g
500	681	491	288	CAGL0E02035g
22	17	29	15	CAGL0E02057g
476	628	541	313	CAGL0E02079g
223	297	201	114	CAGL0E02101g
70	80	118	77	CAGL0E02123g
117	144	331	188	CAGL0E02145g
352	520	551	319	CAGL0E02167g
48	62	84	42	CAGL0E02189g
26	26	41	20	CAGL0E02211g
270	331	427	241	CAGL0E02233g
5517	6603	4535	2765	CAGL0E02255g
0	0	0	0	CAGL0E02277r
316	439	763	508	CAGL0E02299g
452	586	630	395	CAGL0E02315g
960	1397	841	591	CAGL0E02321g
739	941	111	89	CAGL0E02343g
103	102	190	131	CAGL0E02365g
129	161	283	190	CAGL0E02387g
426	465	595	375	CAGL0E02409g
288	345	307	186	CAGL0E02431g
318	363	324	200	CAGL0E02453g
748	966	1093	755	CAGL0E02475g
181	249	304	180	CAGL0E02497g
264	317	600	331	CAGL0E02519g
155	230	278	191	CAGL0E02541g
0	0	0	0	CAGL0E02563s
631	697	242	165	CAGL0E02585g
408	463	832	508	CAGL0E02607g
416	624	870	535	CAGL0E02629g
39	52	164	120	CAGL0E02651g
655	799	159	149	CAGL0E02673g
154	228	330	223	CAGL0E02695g
360	460	258	158	CAGL0E02717g
1078	1396	2540	1012	CAGL0E02739g
269	330	591	283	CAGL0E02761g
909	1191	1852	1085	CAGL0E02783g
257	377	328	241	CAGL0E02805g
123	148	177	110	CAGL0E02827g
638	809	910	512	CAGL0E02849g
81	104	147	96	CAGL0E02871g
193	257	231	122	CAGL0E02893g
596	705	849	628	CAGL0E02915g
362	413	122	120	CAGL0E02937g
252	286	205	148	CAGL0E02959g
155	194	472	318	CAGL0E02981g
70	85	216	131	CAGL0E03003g
356	459	1079	760	CAGL0E03025g
807	954	122	100	CAGL0E03069g
0	0	0	0	CAGL0E03091r
614	926	850	433	CAGL0E03113g
1967	2422	2337	1458	CAGL0E03157g
294	384	402	233	CAGL0E03179g
2040	2583	3940	2088	CAGL0E03201g
299	433	124	114	CAGL0E03223g
3127	3694	378	374	CAGL0E03245g
266	349	406	226	CAGL0E03267g
2080	2491	584	503	CAGL0E03289g
291	389	530	349	CAGL0E03311g
0	0	0	0	CAGL0E03333r
137	198	261	175	CAGL0E03355g
3	2	107	33	CAGL0E03366g
0	0	0	0	CAGL0E03377r
0	2	1	0	CAGL0E03421g
1	0	1	0	CAGL0E03432g
274	326	443	330	CAGL0E03454g
253	331	532	365	CAGL0E03476g
9	12	37	12	CAGL0E03498g
483	587	874	555	CAGL0E03520g
144	185	175	130	CAGL0E03542g
914	1095	1141	729	CAGL0E03564g
0	0	0	0	CAGL0E03586r
136	185	255	180	CAGL0E03608g
51	61	73	26	CAGL0E03630g
182	196	495	257	CAGL0E03652g
383	480	763	401	CAGL0E03674g
245	322	468	293	CAGL0E03718g
137	154	217	134	CAGL0E03740g
136	150	290	182	CAGL0E03762g
110	125	261	140	CAGL0E03784g
328	425	356	225	CAGL0E03806g
216	273	477	296	CAGL0E03828g
1605	1641	887	475	CAGL0E03850g
478	589	767	477	CAGL0E03872g
24	25	23	9	CAGL0E03894g
114	141	206	141	CAGL0E03916g
11199	12762	3724	2764	CAGL0E03938g
808	934	2140	1222	CAGL0E03960g
566	725	653	503	CAGL0E03982g
84	90	228	113	CAGL0E04004g
162	184	196	160	CAGL0E04026g
1903	2277	3456	2139	CAGL0E04048g
454	565	712	431	CAGL0E04070g
1790	2448	714	431	CAGL0E04092g
255	349	276	176	CAGL0E04114g
280	375	423	305	CAGL0E04136g
99	113	59	31	CAGL0E04158g
257	348	376	250	CAGL0E04180g
173	223	307	211	CAGL0E04224g
194	249	226	156	CAGL0E04246g
168	197	235	171	CAGL0E04268g
204	263	326	223	CAGL0E04290g
363	574	644	391	CAGL0E04312g
3116	4130	1666	1238	CAGL0E04334g
969	1387	2499	1296	CAGL0E04356g
594	826	933	562	CAGL0E04378g
268	290	507	288	CAGL0E04400g
201	237	453	267	CAGL0E04422g
14	13	5	3	CAGL0E04433r
492	587	506	298	CAGL0E04444g
2	1	3	4	CAGL0E04466g
139	146	293	148	CAGL0E04488g
112	149	255	172	CAGL0E04510g
515	605	413	276	CAGL0E04532g
75	85	218	149	CAGL0E04548g
2	6	22	17	CAGL0E04554g
379	503	519	380	CAGL0E04576g
342	471	781	436	CAGL0E04598g
1667	2193	2605	1313	CAGL0E04620g
264	358	593	369	CAGL0E04642g
347	462	579	335	CAGL0E04664g
287	414	733	498	CAGL0E04686g
55	75	150	106	CAGL0E04708g
0	0	0	0	CAGL0E04730r
1849	2186	2605	1377	CAGL0E04752g
301	398	668	381	CAGL0E04774g
409	500	548	329	CAGL0E04796g
181	228	252	138	CAGL0E04818g
3	2	3	1	CAGL0E04840g
272	300	367	249	CAGL0E04862g
230	190	1053	612	CAGL0E04884g
399	472	3188	898	CAGL0E04906g
213	275	657	357	CAGL0E04928g
198	252	236	197	CAGL0E04950g
418	575	531	392	CAGL0E04972g
7319	7871	2858	2126	CAGL0E04994g
2408	3032	2653	1491	CAGL0E05016g
420	487	574	378	CAGL0E05038g
355	428	513	333	CAGL0E05060g
163	192	339	205	CAGL0E05082g
36	62	73	53	CAGL0E05104g
153	191	172	118	CAGL0E05126g
242	330	1258	788	CAGL0E05148g
370	470	1877	1018	CAGL0E05170g
23	30	80	74	CAGL0E05192g
63	50	140	79	CAGL0E05214g
29	24	20	13	CAGL0E05236g
153	199	165	127	CAGL0E05258g
131	136	387	234	CAGL0E05280g
144	170	404	250	CAGL0E05302g
213	274	378	239	CAGL0E05324g
1261	1572	2651	1588	CAGL0E05346g
104	130	107	93	CAGL0E05368g
2569	3286	2012	1650	CAGL0E05390g
651	888	1007	714	CAGL0E05412g
418	514	264	169	CAGL0E05434g
66	68	5	4	CAGL0E05456g
1019	1264	195	189	CAGL0E05478g
2316	3112	554	500	CAGL0E05500g
426	531	156	119	CAGL0E05522g
0	0	0	0	CAGL0E05544r
141	180	682	495	CAGL0E05566g
98	134	482	339	CAGL0E05588g
1395	1949	9716	5418	CAGL0E05610g
29	25	54	27	CAGL0E05632g
392	680	1014	574	CAGL0E05654g
1022	1231	755	431	CAGL0E05676g
50	43	26	24	CAGL0E05698g
64	89	82	68	CAGL0E05720g
997	1216	956	655	CAGL0E05742g
645	854	283	258	CAGL0E05764g
107	169	112	68	CAGL0E05786g
273	380	740	436	CAGL0E05808g
383	459	888	556	CAGL0E05830g
1329	1727	297	257	CAGL0E05874g
1681	2297	2417	1454	CAGL0E05896g
69	109	240	163	CAGL0E05918g
595	787	1069	658	CAGL0E05940g
25	34	124	63	CAGL0E05962g
13	8	53	36	CAGL0E05984g
192	291	591	321	CAGL0E06006g
575	665	616	420	CAGL0E06028g
498	667	443	337	CAGL0E06050g
81	89	514	327	CAGL0E06072g
0	0	0	0	CAGL0E06094g
60	66	93	60	CAGL0E06116g
8293	10417	12623	7320	CAGL0E06138g
946	975	1187	842	CAGL0E06160g
55	77	196	111	CAGL0E06182g
356	485	1004	502	CAGL0E06204g
1218	1432	2999	1800	CAGL0E06226g
56	60	151	81	CAGL0E06248g
558	648	961	583	CAGL0E06270g
3	7	24	17	CAGL0E06292g
311	325	329	222	CAGL0E06314g
522	656	636	405	CAGL0E06336g
26703	32788	46497	24709	CAGL0E06358g
52	71	618	340	CAGL0E06380g
0	0	0	0	CAGL0E06402g
904	1106	2321	1617	CAGL0E06424g
260	372	378	271	CAGL0E06446g
479	528	896	532	CAGL0E06468g
985	1180	2490	1290	CAGL0E06490g
495	691	1295	821	CAGL0E06512g
692	889	347	265	CAGL0E06534g
269	336	322	209	CAGL0E06556g
9	15	4	1	CAGL0E06600g
0	0	2	0	CAGL0E06644g
0	0	0	0	CAGL0E06666g
0	0	0	0	CAGL0E06688g
0	0	1	0	CAGL0F00105g
0	0	1	0	CAGL0F00110g
0	0	0	0	CAGL0F00116g
0	0	0	0	CAGL0F00132g
0	1	1	0	CAGL0F00176g
98	315	51	64	CAGL0F00187g
0	2	0	1	CAGL0F00209g
2377	3067	3908	2799	CAGL0F00231g
1548	1994	1101	697	CAGL0F00253g
674	919	966	603	CAGL0F00275g
827	1097	823	576	CAGL0F00297g
182	270	351	181	CAGL0F00319g
16	24	22	20	CAGL0F00341g
5945	8067	10550	5670	CAGL0F00363g
2	1	1	0	CAGL0F00385r
2458	3219	1404	1124	CAGL0F00407g
369	528	344	239	CAGL0F00429g
315	401	355	255	CAGL0F00451g
57	76	55	33	CAGL0F00473g
245	350	459	274	CAGL0F00495g
1291	1716	2631	1581	CAGL0F00517g
1084	1396	1423	841	CAGL0F00539g
586	785	149	117	CAGL0F00561g
443	551	844	462	CAGL0F00583g
611	862	6118	4119	CAGL0F00605g
572	727	480	315	CAGL0F00627g
1	2	9	2	CAGL0F00649g
1013	1253	1640	991	CAGL0F00671g
1275	1611	2017	1229	CAGL0F00693g
148	211	35	26	CAGL0F00715g
410	555	425	311	CAGL0F00737g
1098	1441	1759	1090	CAGL0F00759g
146	191	308	167	CAGL0F00803g
264	335	492	330	CAGL0F00825g
46	65	165	127	CAGL0F00869g
1	3	2	0	CAGL0F00891g
168	145	132	98	CAGL0F00913g
109	134	178	134	CAGL0F00935g
888	1152	1363	846	CAGL0F00957g
96	146	86	77	CAGL0F00979g
284	351	374	194	CAGL0F01001g
864	1144	152	165	CAGL0F01023g
8016	9642	4306	3398	CAGL0F01045g
380	537	567	358	CAGL0F01089g
104	113	336	204	CAGL0F01111g
101	147	186	109	CAGL0F01133g
266	338	296	197	CAGL0F01155g
386	534	150	117	CAGL0F01177g
637	744	1979	925	CAGL0F01199g
212	309	513	259	CAGL0F01221g
485	585	677	376	CAGL0F01243g
352	433	899	652	CAGL0F01265g
886	1182	1693	990	CAGL0F01287g
0	0	0	0	CAGL0F01309r
183	231	330	205	CAGL0F01331g
0	0	0	0	CAGL0F01353r
458	554	896	576	CAGL0F01397g
91	115	126	56	CAGL0F01419g
2408	2237	3008	895	CAGL0F01463g
2	3	3	1	CAGL0F01485g
396	486	597	332	CAGL0F01507g
826	1057	1774	1082	CAGL0F01529g
145	197	81	55	CAGL0F01551g
249	311	337	213	CAGL0F01573g
725	912	902	601	CAGL0F01595g
289	385	523	358	CAGL0F01617g
265	321	405	274	CAGL0F01639g
157	187	107	66	CAGL0F01661g
7302	9114	3723	2970	CAGL0F01683g
3467	4535	1555	1162	CAGL0F01705g
375	613	225	157	CAGL0F01727g
701	833	2000	986	CAGL0F01749g
259	362	382	260	CAGL0F01771g
1238	1296	776	469	CAGL0F01793g
123	108	435	248	CAGL0F01815g
271	338	570	353	CAGL0F01837g
16	22	26	9	CAGL0F01859g
34	54	105	53	CAGL0F01881g
83	104	94	55	CAGL0F01903g
348	418	87	66	CAGL0F01925g
1253	1501	3017	1840	CAGL0F01947g
349	500	671	378	CAGL0F01969g
129	193	169	104	CAGL0F01991g
167	252	340	186	CAGL0F02013g
69	99	106	79	CAGL0F02035g
3	0	0	0	CAGL0F02057g
357	503	490	354	CAGL0F02079g
103	118	265	169	CAGL0F02101g
1118	1320	1578	970	CAGL0F02123g
521	779	2730	1589	CAGL0F02145g
6	19	7	10	CAGL0F02167g
0	0	0	0	CAGL0F02189r
803	1027	1058	593	CAGL0F02233g
137	177	316	169	CAGL0F02255g
553	740	581	400	CAGL0F02277g
424	572	157	129	CAGL0F02299g
0	0	0	0	CAGL0F02321s
196	249	283	192	CAGL0F02343g
82	97	133	77	CAGL0F02365g
635	894	1875	1201	CAGL0F02387g
0	0	0	0	CAGL0F02409r
788	1223	836	610	CAGL0F02431g
463	587	589	401	CAGL0F02453g
38	37	26	24	CAGL0F02475g
244	327	334	242	CAGL0F02497g
62	73	151	83	CAGL0F02513g
184	256	358	237	CAGL0F02519g
999	1217	237	225	CAGL0F02541g
1378	1442	459	371	CAGL0F02563g
49	46	82	55	CAGL0F02585g
0	0	1	0	CAGL0F02607g
0	0	0	1	CAGL0F02651g
349	426	378	270	CAGL0F02673g
470	522	919	531	CAGL0F02695g
256	216	544	219	CAGL0F02717g
398	498	514	374	CAGL0F02739g
247	352	325	229	CAGL0F02761g
154	218	186	125	CAGL0F02783g
176	218	227	120	CAGL0F02805g
243	336	575	330	CAGL0F02827g
379	519	159	166	CAGL0F02849g
319	393	415	333	CAGL0F02871g
365	484	595	416	CAGL0F02893g
263	349	315	200	CAGL0F02915g
16036	19247	8437	6348	CAGL0F02937g
11	29	6	8	CAGL0F02948r
175	288	317	204	CAGL0F02959g
0	0	0	0	CAGL0F02981r
182	217	142	109	CAGL0F03003g
77	116	144	81	CAGL0F03025g
109	164	194	119	CAGL0F03047g
211	300	348	161	CAGL0F03069g
124	170	253	107	CAGL0F03091g
163	203	555	340	CAGL0F03113g
519	665	1289	801	CAGL0F03135g
328	353	941	547	CAGL0F03157g
588	693	770	518	CAGL0F03179g
155	216	464	259	CAGL0F03201g
502	574	583	401	CAGL0F03223g
229	305	364	255	CAGL0F03245g
0	0	0	0	CAGL0F03261g
160	236	431	272	CAGL0F03267g
345	485	190	162	CAGL0F03289g
65	98	186	97	CAGL0F03311g
276	405	203	138	CAGL0F03333g
0	0	0	0	CAGL0F03355r
1581	1788	2517	1339	CAGL0F03399g
152	222	216	140	CAGL0F03421g
137	238	263	137	CAGL0F03443g
409	509	803	504	CAGL0F03465g
235	299	291	151	CAGL0F03487g
670	925	625	409	CAGL0F03531g
462	576	934	605	CAGL0F03553g
266	345	465	292	CAGL0F03575g
97	143	101	63	CAGL0F03597g
58	84	115	54	CAGL0F03619g
28	46	89	31	CAGL0F03641g
528	578	948	403	CAGL0F03663g
351	402	855	522	CAGL0F03685g
132	163	302	200	CAGL0F03707g
550	668	1481	829	CAGL0F03729g
141	165	153	98	CAGL0F03751g
443	542	435	338	CAGL0F03773g
238	303	225	155	CAGL0F03795g
439	675	695	350	CAGL0F03817g
745	1218	979	614	CAGL0F03839g
601	951	409	320	CAGL0F03861g
922	1248	1155	774	CAGL0F03883g
210	274	363	194	CAGL0F03905g
4935	6120	807	859	CAGL0F03927g
279	380	400	288	CAGL0F03949g
380	438	636	451	CAGL0F03971g
468	713	769	494	CAGL0F03993g
179	222	198	117	CAGL0F04015g
22	53	33	21	CAGL0F04081g
57	41	72	41	CAGL0F04092g
561	666	276	207	CAGL0F04103g
127	145	219	122	CAGL0F04125g
54	65	136	80	CAGL0F04191g
6040	7919	7094	4446	CAGL0F04213g
76	80	79	46	CAGL0F04235g
1791	2338	2020	1283	CAGL0F04257g
151	215	629	421	CAGL0F04279g
220	310	256	182	CAGL0F04301g
501	701	565	346	CAGL0F04323g
618	792	1418	871	CAGL0F04345g
472	641	757	488	CAGL0F04367g
269	298	469	267	CAGL0F04389g
476	608	960	580	CAGL0F04411g
2032	2595	649	604	CAGL0F04433g
604	777	1002	572	CAGL0F04455g
782	956	1818	1007	CAGL0F04477g
577	650	156	96	CAGL0F04499g
80	130	128	87	CAGL0F04521g
1	1	0	0	CAGL0F04543g
1586	2185	2561	1796	CAGL0F04565g
